a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-4
acpi 1.7-2
alsa-firmware 1.0.29-1
alsa-lib 1.1.4.1-1
alsa-plugins 1.1.4-1
alsa-utils 1.1.4-1
alsaplayer 0.99.81-8
at-spi2-core 2.24.1-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-1
axel 2.13.1-1
bash 4.4.012-2
bc 1.07.1-1
bind 9.11.2-2
bind-tools 9.11.2-2
binutils 2.29.0-1
bison 3.0.4-3
blas 3.7.1-2
boost 1.64.0-4
boost-libs 1.64.0-4
bridge-utils 1.6-2
bzip2 1.0.6-6
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.32-1
ca-certificates-utils 20170307-1
cairo 1.14.10-1
cblas 3.7.1-2
cdparanoia 10.2-5
celt 0.11.3-2
certbot 0.17.0-1
chromaprint 1.4.2-1
cifs-utils 6.7-2
compositeproto 0.4.2-3
confuse 3.2.1-1
coreutils 8.28-1
cracklib 2.9.6-1
cronie 1.5.1-1
cryptsetup 1.7.5-1
curl 7.55.1-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.22-1
dconf 0.26.0+1+g701d19d-1
ddclient 3.8.3-2
debtap 3.1.4-2
desktop-file-utils 0.23-1
despotify-svn 521-2.1
device-mapper 2.02.173-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.6-1
ding-libs 0.6.0-1
dkms 2.4.0-2
dmxproto 2.3.1-3
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-3
dotconf 1.3-4
e2fsprogs 1.43.6-1
easy-rsa 3.0.3-1
elfutils 0.169-2
enca 1.19-1
eventlog 0.2.12-4
expat 2.2.4-1
faac 1.29.3-1
faad2 2.8.1-1
fakeroot 1.22-1
fbset 2.1-5
ffmpeg 1:3.3.3-2
fftw 3.3.6-2
file 5.32-1
filesystem 2017.03-2
findutils 4.6.0-2
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.12.5-1
fontsproto 2.1.3-2
foomatic-db 3:20170106-1
foomatic-db-gutenprint-ppds 5.2.13-1
foomatic-db-nonfree-ppds 3:20170106-1
freeglut 3.0.0-1
freeimage 3.17.0-2.1
freetds 1.00.44-1
freetype2 2.8-2
fribidi 0.19.7-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 7.2.0-2
gcc-libs 7.2.0-2
gd 2.2.5-1
gdbm 1.13-1
gdk-pixbuf2 2.36.9-1
geoclue2 2.4.7-1
geoip 1.6.10-1
geoip-database 20170801-1
gettext 0.19.8.1-2
ghostscript 9.21-3
giflib 5.1.4-1
git 2.14.1-1
glib-networking 2.50.0-2
glib2 2.52.3-1
glib2-docs 2.52.3-1
glibc 2.26-3
glu 9.0.0-4
gmp 6.1.2-1
gnu-netcat 0.7.1-6
gnupg 2.2.0-1
gnutls 3.5.15-1
gobject-introspection 1.52.1-1
gobject-introspection-runtime 1.52.1-1
gpac 1:0.7.1-3
gpgme 1.9.0-3
gpm 1.20.7-8
graphene 1.6.0-1
graphite 1:1.3.10-1
grep 3.1-1
groff 1.22.3-7
gsettings-desktop-schemas 3.24.0-1
gsm 1.0.16-1
gssproxy 0.6.2-1
gst-libav 1.12.2-1
gst-plugins-bad 1.12.2-4
gst-plugins-base 1.12.2-1
gst-plugins-base-libs 1.12.2-1
gst-plugins-good 1.12.2-1
gst-plugins-ugly 1.12.2-1
gst-python2 1.12.2-1
gstreamer 1.12.2-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gstreamer0.10-good 0.10.31-11
gstreamer0.10-python 0.10.22-2
gstreamer0.10-ugly 0.10.19-16
gstreamer0.10-ugly-plugins 0.10.19-16
gtk-doc 1.26+10+g01844e7-1
gtk-update-icon-cache 3.22.20-1
guile 2.2.2-1
gzip 1.8-2
harfbuzz 1.5.1-1
harfbuzz-icu 1.5.1-1
haveged 1.9.1-3
help2man 1.47.4-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
htop 2.0.2-2
